2023-10-21 14:22:18.151 -07:00 [INF] Application started. Press Ctrl+C to shut down.
2023-10-21 14:22:18.212 -07:00 [INF] Hosting environment: Development
2023-10-21 14:22:18.215 -07:00 [INF] Content root path: F:\Self-Project\c#\background\Download_Upload\Download_Upload
2023-10-21 14:25:33.589 -07:00 [INF] Download Task running at: "2023-10-21T14:25:33.5892500-07:00"

2023-10-21 14:25:33.589 -07:00 [INF] Viewer Task running at: "2023-10-21T14:25:33.5898455-07:00"

2023-10-21 14:25:48.502 -07:00 [INF] result Task running at: "2023-10-21T14:25:48.5027370-07:00"

2023-10-21 14:25:48.596 -07:00 [INF] Download Task running at: "2023-10-21T14:25:48.5960007-07:00"

2023-10-21 14:25:48.596 -07:00 [INF] Download2 Task running at: "2023-10-21T14:25:48.5960007-07:00"

2023-10-21 14:25:48.596 -07:00 [INF] Viewer Task running at: "2023-10-21T14:25:48.5960185-07:00"

2023-10-21 14:26:03.521 -07:00 [INF] result Task running at: "2023-10-21T14:26:03.5217463-07:00"

2023-10-21 14:26:03.614 -07:00 [INF] Viewer Task running at: "2023-10-21T14:26:03.6142673-07:00"

2023-10-21 14:26:03.614 -07:00 [INF] Download Task running at: "2023-10-21T14:26:03.6142672-07:00"

2023-10-21 14:26:03.614 -07:00 [INF] Download2 Task running at: "2023-10-21T14:26:03.6148793-07:00"

2023-10-21 14:26:18.536 -07:00 [INF] result Task running at: "2023-10-21T14:26:18.5361723-07:00"

2023-10-21 14:26:18.629 -07:00 [INF] Download Task running at: "2023-10-21T14:26:18.6293431-07:00"

2023-10-21 14:26:18.629 -07:00 [INF] Download2 Task running at: "2023-10-21T14:26:18.6293734-07:00"

2023-10-21 14:26:18.629 -07:00 [INF] Viewer Task running at: "2023-10-21T14:26:18.6293684-07:00"

2023-10-21 14:26:33.550 -07:00 [INF] result Task running at: "2023-10-21T14:26:33.5509527-07:00"

2023-10-21 14:26:33.644 -07:00 [INF] Download Task running at: "2023-10-21T14:26:33.6449221-07:00"

2023-10-21 14:26:33.644 -07:00 [INF] Viewer Task running at: "2023-10-21T14:26:33.6449169-07:00"

2023-10-21 14:26:33.644 -07:00 [INF] Download2 Task running at: "2023-10-21T14:26:33.6449222-07:00"

2023-10-21 14:26:48.557 -07:00 [INF] result Task running at: "2023-10-21T14:26:48.5576155-07:00"

2023-10-21 14:26:48.651 -07:00 [INF] Download Task running at: "2023-10-21T14:26:48.6516669-07:00"

2023-10-21 14:26:48.651 -07:00 [INF] Download2 Task running at: "2023-10-21T14:26:48.6516638-07:00"

2023-10-21 14:26:48.651 -07:00 [INF] Viewer Task running at: "2023-10-21T14:26:48.6517131-07:00"

2023-10-21 14:27:03.576 -07:00 [INF] result Task running at: "2023-10-21T14:27:03.5766862-07:00"

2023-10-21 14:27:03.667 -07:00 [INF] Download2 Task running at: "2023-10-21T14:27:03.6677250-07:00"

2023-10-21 14:27:03.667 -07:00 [INF] Viewer Task running at: "2023-10-21T14:27:03.6677237-07:00"

2023-10-21 14:27:03.667 -07:00 [INF] Download Task running at: "2023-10-21T14:27:03.6677237-07:00"

2023-10-21 14:27:18.578 -07:00 [INF] result Task running at: "2023-10-21T14:27:18.5784136-07:00"

2023-10-21 14:27:18.673 -07:00 [INF] Viewer Task running at: "2023-10-21T14:27:18.6737059-07:00"

2023-10-21 14:27:18.673 -07:00 [INF] Download2 Task running at: "2023-10-21T14:27:18.6737059-07:00"

2023-10-21 14:27:18.673 -07:00 [INF] Download Task running at: "2023-10-21T14:27:18.6738596-07:00"

2023-10-21 14:27:33.591 -07:00 [INF] result Task running at: "2023-10-21T14:27:33.5913609-07:00"

2023-10-21 14:27:33.685 -07:00 [INF] Download2 Task running at: "2023-10-21T14:27:33.6852339-07:00"

2023-10-21 14:27:33.685 -07:00 [INF] Viewer Task running at: "2023-10-21T14:27:33.6857213-07:00"

2023-10-21 14:27:33.686 -07:00 [INF] Download Task running at: "2023-10-21T14:27:33.6862540-07:00"

2023-10-21 14:27:48.607 -07:00 [INF] result Task running at: "2023-10-21T14:27:48.6070616-07:00"

2023-10-21 14:27:48.700 -07:00 [INF] Viewer Task running at: "2023-10-21T14:27:48.7005173-07:00"

2023-10-21 14:27:48.700 -07:00 [INF] Download Task running at: "2023-10-21T14:27:48.7005178-07:00"

2023-10-21 14:27:48.700 -07:00 [INF] Download2 Task running at: "2023-10-21T14:27:48.7005151-07:00"

2023-10-21 14:28:03.631 -07:00 [INF] result Task running at: "2023-10-21T14:28:03.6315397-07:00"

2023-10-21 14:28:03.709 -07:00 [INF] Viewer Task running at: "2023-10-21T14:28:03.7093533-07:00"

2023-10-21 14:28:03.709 -07:00 [INF] Download2 Task running at: "2023-10-21T14:28:03.7098059-07:00"

2023-10-21 14:28:03.710 -07:00 [INF] Download Task running at: "2023-10-21T14:28:03.7102771-07:00"

2023-10-21 14:28:18.641 -07:00 [INF] result Task running at: "2023-10-21T14:28:18.6419102-07:00"

2023-10-21 14:28:18.719 -07:00 [INF] Download Task running at: "2023-10-21T14:28:18.7197102-07:00"

2023-10-21 14:28:18.719 -07:00 [INF] Viewer Task running at: "2023-10-21T14:28:18.7197102-07:00"

2023-10-21 14:28:18.719 -07:00 [INF] Download2 Task running at: "2023-10-21T14:28:18.7197103-07:00"

2023-10-21 14:28:33.660 -07:00 [INF] result Task running at: "2023-10-21T14:28:33.6600725-07:00"

2023-10-21 14:28:33.737 -07:00 [INF] Viewer Task running at: "2023-10-21T14:28:33.7376414-07:00"

2023-10-21 14:28:33.737 -07:00 [INF] Download Task running at: "2023-10-21T14:28:33.7376350-07:00"

2023-10-21 14:28:33.737 -07:00 [INF] Download2 Task running at: "2023-10-21T14:28:33.7376393-07:00"

2023-10-21 14:28:48.681 -07:00 [INF] result Task running at: "2023-10-21T14:28:48.6811008-07:00"

2023-10-21 14:28:48.743 -07:00 [INF] Download Task running at: "2023-10-21T14:28:48.7434859-07:00"

2023-10-21 14:28:48.743 -07:00 [INF] Download2 Task running at: "2023-10-21T14:28:48.7435255-07:00"

2023-10-21 14:28:48.743 -07:00 [INF] Viewer Task running at: "2023-10-21T14:28:48.7435232-07:00"

2023-10-21 14:29:03.703 -07:00 [INF] result Task running at: "2023-10-21T14:29:03.7032050-07:00"

2023-10-21 14:29:03.765 -07:00 [INF] Download2 Task running at: "2023-10-21T14:29:03.7649818-07:00"

2023-10-21 14:29:03.765 -07:00 [INF] Download Task running at: "2023-10-21T14:29:03.7650042-07:00"

2023-10-21 14:29:03.765 -07:00 [INF] Viewer Task running at: "2023-10-21T14:29:03.7650077-07:00"

